ConditionName,Outcome,CountryName,Admin1ISO,Date,SourceName,CountValue
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-01-23,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-01-24,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-01-25,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-01-26,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-01-27,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-01-28,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-01-29,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-01-30,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-01-31,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-02-01,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-02-02,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-02-03,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-02-04,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-02-05,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-02-06,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-02-07,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-02-08,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-02-09,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-02-10,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-02-11,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-02-12,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-02-13,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-02-14,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-02-15,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-02-16,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-02-17,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-02-18,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-02-19,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-02-20,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-02-21,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-02-22,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-02-23,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-02-24,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-02-25,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-02-26,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-02-27,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-02-28,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-02-29,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
COVID-19,Unspecified,UNITED STATES OF AMERICA,US-AK,2020-03-01,"United States Centers for Disease Control and Prevention, COVID-19 Response",0.0
