Date,Station ID,Latitude,Longitude,CO_subAQI,NO2_subAQI,O3_subAQI,PM2.5_subAQI,SO2_subAQI,AQI,date,MeanTemp,TotalPrecip,MaxTemp,MinTemp,TotalRain,SnowOnGround,MaxGustSpd,wx_n,TempRange,TotalTraffic,tr_n
2022-04-26,12008,42.315778,-83.043667,1.0,14.0,28.0,21.0,0.0,28.0,2022-04-26,5.2,0.0,8.1,2.2,,,55.0,1.0,5.8999999999999995,2182.0,45.0
2022-04-26,12016,42.292889,-83.073139,,11.0,27.0,23.0,7.0,27.0,2022-04-26,5.2,0.0,8.1,2.2,,,55.0,1.0,5.8999999999999995,2562.0,46.0
2022-04-26,13001,42.403694,-82.208306,,5.0,27.0,10.0,,27.0,2022-04-26,,,,,,,,,,441.0,6.0
2022-04-26,14111,42.990263,-82.395341,,10.0,28.0,7.0,0.0,28.0,2022-04-26,4.05,1.8,7.55,0.55,,1.0,40.5,2.0,7.0,1769.0,10.0
2022-04-26,15020,43.333084,-81.74289,,1.0,29.0,14.0,,29.0,2022-04-26,,,,,,,,,,311.0,3.0
2022-04-26,15026,42.974485,-81.200813,,5.0,27.0,14.0,,27.0,2022-04-26,4.25,1.5,7.95,0.6,,,38.0,2.0,7.3500000000000005,2674.0,6.0
2022-04-26,16015,42.672127,-81.162948,,3.0,25.0,13.0,,25.0,2022-04-26,,,,,,,,,,,
2022-04-26,18007,44.314472,-81.549722,,,27.0,8.0,,27.0,2022-04-26,,,,,,,,,,,
2022-04-26,21005,43.138611,-80.292639,,4.0,28.0,23.0,,28.0,2022-04-26,5.1,0.3,9.1,1.2,,1.0,37.0,1.0,7.8999999999999995,474.0,14.0
2022-04-26,26060,43.443833,-80.503806,,5.0,27.0,7.0,,27.0,2022-04-26,,,,,,,,,,4643.0,5.0
2022-04-26,27067,43.160056,-79.23475,,7.0,28.0,28.0,,28.0,2022-04-26,6.7,,11.4,2.0,,,39.0,2.0,9.4,14212.0,28.0
2022-04-26,28028,43.551611,-80.264167,,4.0,29.0,17.0,,29.0,2022-04-26,4.3,0.9,8.6,0.0,,0.0,,1.0,8.6,2889.0,9.0
2022-04-26,29000,43.25778,-79.861664,1.0,5.0,26.0,23.0,0.0,26.0,2022-04-26,6.85,0.6,11.05,2.55,,,,2.0,8.5,15627.0,21.0
2022-04-26,29118,43.257444,-79.90775,,6.0,26.0,21.0,,26.0,2022-04-26,6.85,0.6,11.05,2.55,,,,2.0,8.5,3837.0,8.0
2022-04-26,29214,43.241324,-79.889328,,3.0,27.0,42.0,0.0,42.0,2022-04-26,6.366666666666667,0.5,10.566666666666666,2.1,0.4,,33.0,3.0,8.466666666666667,6592.0,12.0
2022-04-26,31129,43.645451,-79.3891,,20.0,22.0,32.0,,32.0,2022-04-26,7.1,2.05,11.55,2.55,,,54.0,2.0,9.0,166665.0,299.0
2022-04-26,33003,43.747917,-79.274056,,12.0,22.0,19.0,,22.0,2022-04-26,,,,,,,,,,128821.0,120.0
2022-04-26,34021,43.78047,-79.467372,,18.0,23.0,26.0,0.0,26.0,2022-04-26,,,,,,,,,,103711.0,92.0
2022-04-26,35125,43.709444,-79.5435,2.0,28.0,19.0,30.0,0.0,30.0,2022-04-26,6.2,2.8,10.4,1.9,2.8,,46.0,1.0,8.5,129972.0,112.0
2022-04-26,44008,43.314603,-79.80277,,10.0,22.0,17.0,,22.0,2022-04-26,6.85,0.6,11.05,2.55,,,,2.0,8.5,32859.0,30.0
2022-04-26,44017,43.486917,-79.702278,,5.0,28.0,16.0,,28.0,2022-04-26,,,,,,,,,,39199.0,27.0
2022-04-26,44029,43.52965,-79.862449,,8.0,26.0,22.0,1.0,26.0,2022-04-26,,,,,,,,,,9229.0,16.0
2022-04-26,45027,43.952248,-78.91252,,5.0,27.0,24.0,,27.0,2022-04-26,6.0,0.0,10.1,1.9,,,39.0,1.0,8.2,8804.0,26.0
2022-04-26,46090,43.669911,-79.766589,,4.0,26.0,16.0,,26.0,2022-04-26,,,,,,,,,,37835.0,27.0
2022-04-26,46108,43.546174,-79.658797,,7.0,27.0,13.0,,27.0,2022-04-26,,,,,,,,,,63625.0,45.0
2022-04-26,47045,44.382338,-79.702446,,6.0,24.0,11.0,,24.0,2022-04-26,9.4,0.0,15.25,3.5,0.0,0.0,,2.0,11.75,1475.0,3.0
2022-04-26,48006,44.044306,-79.48325,,3.0,27.0,7.0,,27.0,2022-04-26,,,,,,,,,,1899.0,3.0
2022-04-26,49005,45.338261,-80.039269,,1.0,29.0,18.0,,29.0,2022-04-26,2.5,0.2,5.0,0.0,,,,1.0,5.0,108.0,3.0
2022-04-26,49010,45.224278,-78.932944,,,28.0,11.0,,28.0,2022-04-26,,,,,,,,,,,
2022-04-26,51001,45.434333,-75.676,,11.0,30.0,23.0,0.0,30.0,2022-04-26,10.4,2.2,14.2,6.5,,,41.0,1.0,7.699999999999999,16448.0,14.0
2022-04-26,52023,44.219953,-76.521143,,3.0,31.0,21.0,,31.0,2022-04-26,8.9,1.5,12.25,5.5,,,41.0,3.0,6.75,4967.0,25.0
2022-04-26,54012,44.150528,-77.3955,,6.0,31.0,17.0,,31.0,2022-04-26,9.5,1.5,13.15,5.85,3.0,0.0,,2.0,7.300000000000001,0.0,5.0
2022-04-26,56051,45.017976,-74.735339,,5.0,32.0,17.0,,32.0,2022-04-26,12.5,0.5,15.0,10.0,0.5,0.0,,1.0,5.0,300.0,3.0
2022-04-26,59006,44.301918,-78.34622,,2.0,28.0,11.0,,28.0,2022-04-26,5.6,0.0,9.6,1.5,,,42.0,1.0,8.1,,
2022-04-26,63203,48.379389,-89.290167,,11.0,39.0,12.0,,39.0,2022-04-26,-3.2,0.4,0.8,-7.15,,19.0,37.0,2.0,7.95,2231.0,9.0
2022-04-26,71078,46.533194,-84.309917,,3.0,29.0,14.0,0.0,29.0,2022-04-26,,,,,,,,,,448.0,3.0
2022-04-26,75010,46.3225,-79.44945,,3.0,24.0,12.0,,24.0,2022-04-26,1.95,2.65,6.95,-3.1,,2.0,32.0,3.0,10.05,0.0,3.0
2022-04-26,77233,46.492002,-81.003099,,3.0,20.0,11.0,0.0,20.0,2022-04-26,,,,,,,,,,140.0,3.0
2022-04-27,12008,42.315778,-83.043667,2.0,9.0,30.0,23.0,0.0,30.0,2022-04-27,1.9,0.0,4.9,-1.2,,,42.0,1.0,6.1000000000000005,1542.0,45.0
2022-04-27,12016,42.292889,-83.073139,,13.0,29.0,16.0,0.0,29.0,2022-04-27,1.9,0.0,4.9,-1.2,,,42.0,1.0,6.1000000000000005,1871.0,46.0
2022-04-27,13001,42.403694,-82.208306,,4.0,30.0,14.0,,30.0,2022-04-27,,,,,,,,,,286.0,6.0
